block_time,fees,score,block_hash
3.57,0.14385882,40.6,00000000000000000002eabe8315e3916b1c890ef0fe1bc0eea488e0134940c4
26809.5,0.96941655,78.3,00000000000000000000edc6ff84cf95e529b11fdedefa22e36aeba482ef2964
27.42,0.82849453,87.5,000000000000000000023532b9e90333c9abe6aac74d6ffd6f06709ad49a4203
9.37,0.69790141,98.1,0000000000000000000316386fda1ac09a4f28b279e86d5109d1b79bd89386ea
6.08,0.6206686,98.4,00000000000000000000f2ae1e87f157917ed74adec022c0e876c4ce6cb1ed33
7.71,0.59169949,84.6,000000000000000000016863aa9111abac730f4bfcabc1f15eaf51a15a63a05b
8.22,0.56312371,90.9,0000000000000000000291c3f8ad243f1f53d82ed56a165aabae6876eca082d9
22.69,0.78867438,86.5,000000000000000000035e7a47cbb9310a4e4289f50a6c0777e2891c05250208
3.89,0.46988676,83.89999999999999,000000000000000000002043f4559a74c93a64a4b559c60d049aeff39b4755a2
31.2,0.86948317,90.5,000000000000000000016dedc0b807af4d9b0559ec9f573b708cadbf31d53afa
36.75,0.94398706,98.2,000000000000000000027b5e15b57c48ed274aa6e39d61a9be5712af88a7214c
8.22,0.74832764,86.8,000000000000000000011c256fd55b7211855d40e44a979ee1f9803e1840dffd
5.87,0.66531796,87.6,00000000000000000002933e4e107083ce7373673943078d9f2ec0df87007911
3.97,0.57627807,99.0,00000000000000000002e5c83d4957cb7c5569d7fdf2c6e32188483084d00a19
32.8,0.89185351,99.3,00000000000000000002657677aaa5668ebed6b2360f771da61f6e36af07ba9c
5.24,0.62590078,85.6,000000000000000000009acf3f314b9dfc097327fb9cf5d918235c7727c5443c
6.19,0.55975353,78.0,00000000000000000000444b01dc5c37595c88a8039136c43aa25a2fc1413247
16.8,0.65619016,99.5,00000000000000000003632cd1bb293aebe3ecb5348458a4a896b83f255f5194
4.61,0.4171368,71.2,000000000000000000022a1bd1cad1a3e870990657390874d3ab568d11296bde
13.87,0.52524016,91.9,00000000000000000002a14d1e3c2f6769bbd9dcd6010b0e41055ddcc5ff1131
11.95,0.5242815,93.7,00000000000000000002249f449ae3535ab40bbc86b5a11b68ced478c1b62a9b
6.9,0.43972181,86.5,00000000000000000002851ce546224f05b452d5d231a205b754ae826c7ca595
9.86,0.46796592,93.10000000000001,000000000000000000025164f8e0d6dbd23e808a056d1ce1125d3ec801e8fecb
21.17,0.61909744,98.0,0000000000000000000218fe3dd7ddf1ba1a28ae4cb45410b96a7d1a0525b591
7.25,0.43822361,88.5,000000000000000000017b60480d1abea2ec6c1d8f3abaedeb54dba04d1ba4da
16.48,0.57556365,98.8,0000000000000000000116eaffbc90dbe903f7970f502beb1ec159375b0ce912
7.08,0.41844556,86.4,000000000000000000032746f9796ed71e57a1ee6e866912e468fa37bbe68f9c
8.49,0.40992663,96.6,000000000000000000013dfe4e970a8facdacd5b3d42b48be90e8fb386c73808
8.41,0.38722437,99.5,000000000000000000027e4339ba6a651554fc3c6b1bf2e4573d5919c7bda8b0
8.41,0.41728666,75.3,000000000000000000031c759fdf0c5134230794b3dfdbeefed0936d9e219cf5
25.64,0.73398452,86.7,00000000000000000001dab0b15d67c2984b07d58f3390c41c6c46fd8da8bd51
6.32,0.45018668,80.9,00000000000000000000458ae7ae9526686ed4b0f3ceefde87c4b8a21b03ff40
10.76,0.47782412,87.7,0000000000000000000351cb328a6c10b288a3540b6208d7667efcd24b0c5189
5.1,0.39562855,91.0,00000000000000000002ca95ed418c2304e9ddbc9c2759a9b8a1524afa44386a
10.53,0.46322195,86.5,00000000000000000001a576e21315079c4c3a591ff2ee12bcfdf9970ff3ea87
3.02,0.26015643,25.7,00000000000000000002846af0f18f5fc06665c156a04e62f605486d156cd565
11.4,0.44697482,98.1,0000000000000000000386fff7c3cba931f2d23e2618cf1f51a5bc6afcbcdbb3
18.18,0.45937904,94.3,000000000000000000033c4953f54fcbaa6e9e8f2949f301a89b5e12a971206e
4.15,0.24453037,82.89999999999999,000000000000000000024b0d66daa2f83338233baf76c93be2870324e99f7c93
12.44,0.35218035,89.7,00000000000000000000de5fb2d063b9a415e2cfaa0b1e937535b2501e3480c8
5.47,0.27342027,78.5,00000000000000000002863014d25b58900d654b8f42077ba10abe5eaddc382b
4.98,0.21104481,94.19999999999999,00000000000000000000474ed4f1e6cb4cc555650ac38c2bda52d9d22395bac8
16.96,0.41328165,85.1,00000000000000000002715e5eb5e6e103f319a218906dda8d6b0f4f9b51cb4c
20.56,0.46767258,89.0,00000000000000000002473c10343822fb4bbc833a7d16838cc2a3304f71a927
13854.91,0.4820497,94.1,00000000000000000002a415057d5beea8059953cb647f803e0b65bf7655cb2f
4.06,0.19068927,95.89999999999999,000000000000000000025e7636f89a61c063af43d02485ea35885f6593e7cf6d
10.3,0.26395918,89.8,000000000000000000012d033bc85bcbca71b8ff8acb5e9461bfd778d8bb29b4
10.36,0.25115161,77.7,000000000000000000029c61a4c8defa18ce199b47e01cada2c702fa7362242a
20.88,0.34332944,88.3,00000000000000000001cc27b34a7dc1b34a6e9b3dc98d8a41726c4716ab631d
4.41,0.2140377,88.0,0000000000000000000208b9b2a2ef489a0f5f77c01dfe64411fba0feeca5d68
4.8,0.19607012,48.1,000000000000000000007d77a5652d09be3b145c67fefb3914bcabf05a6ad5cc
6.43,0.20576045,98.7,000000000000000000024f0325816200320cefa758302121231a1fc46ec31640
4.44,0.17650679,88.9,000000000000000000003035c0d8108ddfa8bb5b85e4d885ea213eefd7656e11
19.76,0.33878759,83.2,000000000000000000031d13412b383f7945a46776b2bd75ee26ccc35652152f
13.98,0.25413182,89.8,000000000000000000023ea99d142d973ac02a8670cdb786b478ea0ce6d2187a
7.28,0.20588497,99.1,000000000000000000025b3ce53dfd5e8b2fe1a20f9d80a461253c72959d8284
4.32,0.15029128,81.39999999999999,00000000000000000001298eba546cb158162f547d8c1d2e1ceaf7e7dac06d6f
7.37,0.18666097,95.39999999999999,00000000000000000002e2e047d385d328c0961933883af53911ce431395447e
33.68,0.34794478,94.39999999999999,000000000000000000002cf8fde98a55162f447bdd92677483e0ba3a1db7e2a0
4.03,0.22816412,84.6,00000000000000000002135cac18075b0592c13d35ad773b962fe06f1eb7c8fe
7.08,0.23561896,96.0,00000000000000000000d590ba6d3743068bca200f1d5f72a35a073415d37d30
4.52,0.16032655,88.5,00000000000000000002a014f6a056cca80b2d857d44e2acee7698676f525fe3
17.4,0.25037218,96.6,0000000000000000000128d38d8c8df8f750675101f5a80a15c718104c65d23a
9.99,0.19165596,92.4,0000000000000000000110330f7f21282c32d1bdd77b34cbfb2d43850cec9713
17.84,0.24382777,96.39999999999999,000000000000000000033d8d1ff6b4f9f95f5a9c140c6b85c88a2426d04b8d35
13.1,0.19863944,89.7,00000000000000000001e194139d06ec00cb5096bc36c7b0265c356c1050c3dd
12.84,0.18059993,85.5,000000000000000000000871b2596fe2708a5ab2089b49c3d57d4011498e67c1
8.52,0.15351862,87.7,000000000000000000030e8f701ba757a0b5b3ac0f9ab459a9e6651e917b11fc
4.71,0.13467449,85.5,00000000000000000000fd37c1f5977e1c695c8ea3b2c101bec1415d3805d02f
7.3,0.14810144,73.6,00000000000000000003472bbc6d7145b29cafb64af4d926f5000e6b3fd80f54
6.83,0.14119345,98.8,000000000000000000026294bf147329031d590317a20716d98f91ae5bd5570c
16.78,0.25666665,89.9,0000000000000000000152b815713752fa04002381cfd55bcb3715b37eac3afc
6.49,0.13188045,79.4,0000000000000000000092f87efb70672b6086810c7640ef6819bff9502a45e9
3.96,0.13526483,97.0,000000000000000000029a7e6db35ac0da0f94f07ad0f4d21693bbcd57792a13
21.63,0.26015381,96.0,00000000000000000001d60e567bb2f5b5b03df4a26f5cf5e459af5252dee2b9
12.79,0.18412083,93.8,00000000000000000002893116ec4e4fea69eb0b8e83661b09853b9767a0e864
4.75,0.13280792,97.7,000000000000000000028bcf6fab445b73ad707a34059d06d0a6e3aae2f77dd7
12.21,0.17778464,98.5,00000000000000000000efa7aeaec51020b36e781f1624618d690985e82e6e41
3.2,0.10623952,89.1,00000000000000000001dab95ef2d21c45b9b6387baeaa46b46f006c044dbd73
7.96,0.14211658,88.5,00000000000000000002f3eae20dab05746e928e4b5dbef0a982e81ecae7028c
54.34,0.3573103,93.7,00000000000000000002a27ff073dee7143a73f70142b9542a3b3a6cdb72feda
13.73,0.27177358,97.3,000000000000000000026480a3a42befef76245e4642373a75e2684fb0effc43
8.87,0.19179616,88.0,000000000000000000021c2f8d6fe88aa56e84c5a84907f46e0fc486f69a2ad1
15.0,0.18002233,88.4,00000000000000000001eedb12bd54bae87880b60b5e737afa26481ee94c4d63
5.33,0.12199246,88.4,0000000000000000000092c349c2f41575d9e3533223ef9ead197b74904fd9a9
15.07,0.17206795,97.3,0000000000000000000238744d38a751517062b38a17c5ea41b6a688a9cbe946
None,0.29464138,37.3,000000000000000000018ce10ba381217652a36b224fcc3d447166c9188ea908
25.33,0.26702075,87.5,00000000000000000001e00825c4074041c78a05a6cb13247eadf5f287a2aab1
3.94,0.17441751,65.8,000000000000000000015123ab386f5b54d298f720b3b2f8f220d4e3e5ea5807
5.76,0.1525529,74.5,00000000000000000002ed730370fb54921a16126a1379369e75de747e68da7c
10.45,0.19277906,91.10000000000001,0000000000000000000227428f068e7d14e75eb13aa0ebd2b443d2bd5be18434
5.02,0.1402794,97.39999999999999,00000000000000000001ac29795f77c64497b30f15174bd003ffbd22a1ef2a12
11.74,0.16162336,98.9,0000000000000000000090063a18d01063c62eb3d37a4521c9845a401e834390
24.16,0.24307713,97.8,0000000000000000000127ae68886c3e69925eab1b222df03d3d648bfa8361e0
6.89,0.1461051,93.0,00000000000000000002f9a4127049f2e71cd10f2818edd7f0c35d2d00af7864
5.68,0.12922344,95.1,000000000000000000022fe5f758abb58eb1d45a593cd4435af480791c149e67
8.18,0.14642341,93.89999999999999,0000000000000000000230a7d2f4c75a5eb635bac77b396aab562ad40733eda2
15.95,0.1702039,86.5,000000000000000000018ef919d1574246d79f6f08ee83f41e3c535eb5bb9623
3.52,0.1071459,90.3,00000000000000000000f087b0f5b8a823f42c36afad95bcc6d63a1855a5434c
11.18,0.15803147,98.3,00000000000000000001375cb5aa3e3142ca4f947fb695dfbb12b47ff8a6918b
12.22,0.16324893,97.1,00000000000000000002f7538b43249a3120f12c3aa4f14f433ce4a61d0b44e0
20.07,0.20189887,88.8,0000000000000000000072c29e3e797dd62f4adc794effbea9ca0358b6de1d2f
5.7,0.12569628,82.3,000000000000000000021a417c7e5323de79951865c1c8ec85fa22e95f269bd6
3.88,0.1076915,96.2,0000000000000000000265802ab318df29daebcc7caa9432681d586f6c54e7c2
13.07,0.1561522,86.7,00000000000000000000db13a7a13c9209a0ca3c6100a00f460e344a6d7e8be9
31.48,0.24941989,99.6,00000000000000000000c8f40482bfcebb02088cac9366365190d133e9a83ade
39.55,0.28826709,98.8,00000000000000000002cb19aa49582630308792f99edd3d24761c47b28df2bf
4.28,0.17255801,88.0,000000000000000000034e977d34e6326138c5a5a66273c06f9b4708d7a6fe97
12.08,0.19059466,88.7,00000000000000000001d686bbb7ad4918b0d9e1d41578675d2fbacd41c0cbb4
4.38,0.13616353,98.4,000000000000000000010e79a5fc7db29880be204216ff0ad1332eb4f1f07c5d
9.51,0.14675192,93.60000000000001,00000000000000000000150440489dc2e7fd265cf03330ec397f1d05750020ce
26.41,0.20699593,97.89999999999999,00000000000000000002771ba52c4930970ac61c3a2382746320340999969995
3.1,0.11248518,88.4,00000000000000000002752d46d7e31a53dcc71c3c60e576c11f60a982c8a32a
6.52,0.12110563,88.2,00000000000000000002ba7a63bbc94fc2ec4512928de8339c70e24d82e4479e
4.61,0.10918475,70.6,00000000000000000002b2961bab292a724b1b486ec252ee0ff23ffd1d18d5f2
19.45,0.17538474,95.1,000000000000000000031164b04dc2d0f54fb9ad7d3217f8b0902373e2071573
7.59,0.12244656,78.4,00000000000000000002354ff62b014cdff9f3f4ac24464b688120855e5aff2e
3.98,0.09953163,95.0,00000000000000000000426ee47999564639b65119e3d35ab1a19045f0c6b69f
3.93,0.09719544,73.4,0000000000000000000054d934ea7f1649c61e4f565fee3cae176e675b9cd709
34.31,0.25818636,99.3,00000000000000000000abd8d1b84939f0f696607483f54d4d7f46ef44010498
12.31,0.17059897,99.6,0000000000000000000082b1c07523d97f9313f030ecd350605a4ed01327bbd0
19.21,0.18117533,99.4,00000000000000000001326c50ff20c42698afa78346399c49d6081818ce0973
9.16,0.13551038,97.0,00000000000000000001a27fc0e2a8fe14ed7e0730c8264a4546e904323b41aa
4.03,0.09670503,88.5,00000000000000000002610a20d72508804522f9d120f441f711deb8323e59cd
3.21,0.09494103,62.4,0000000000000000000100d7b7219cd7d8b441fe53874f6074dd18848c53fa2e
18.4,0.21173313,95.3,000000000000000000019f23e97efb7d1b9c9883f6b2f9fe4c01809773a9da02
12.09,0.23980158,89.3,0000000000000000000073e2ececcc8642ef5511b270176b95493c841908b891
5.91,0.11021656,72.7,000000000000000000032ce80b76739563c40d5b46fe5823bcadcfea49d77ea3
10.47,0.12127977,87.4,000000000000000000023c47e4f9b706d38865faf57420bf21af4308541f88c6
15.31,0.14925456,91.4,000000000000000000027267a25980561da91b65c7602ba21ee26493e3413d75
9.14,0.1221932,90.2,00000000000000000001da3bac7f017ee65e02916e5f84cb61c11c856b353cb1
3.4,0.10197123,78.10000000000001,000000000000000000009a2598cae5a09d9fb71bf200c14125a771ec75114700
6.89,0.10470737,81.8,000000000000000000011cefb2db6b82b6ae69b4ec06eedc81fc85d16f97865d
7.26,0.1008169,94.0,0000000000000000000200e0829f5dd72b02401660837bf67379f6a7adf4d8c9
5.91,0.11442248,95.3,00000000000000000001911ff550eeb8493e589fdd6f1fc080f30969c26cf853
46.41,0.25142949,93.8,00000000000000000001ee972656708fd787b570ec4b813ae8c5feee4f200c56
7.63,0.16586175,96.5,00000000000000000000ea58c5b60311988e9553e58ac5b4e7a2f1575d07a4f0
4.76,0.12535865,80.5,000000000000000000021164d81f6059c18066bc0a93b928fdf455d2481c4708
3.56,0.10976151,99.1,000000000000000000012a9794fcc2fd81bd0f54df00f7589ea96ff9f3f2ef49
5.14,0.10929414,82.69999999999999,00000000000000000000e7d533924ecd9e2096bdf261ae3daf3f04861150c5a8
32.48,0.21779525,93.2,00000000000000000000c8db8d61afd8b28e33efdea9f4b772e2e1f9669b9f75
13.35,0.17267655,88.5,000000000000000000006e4de5b27bb9bacdb65ac65e9a1dfb70399c851cf7e3
19.98,0.24746872,92.5,00000000000000000000cde625e86e7423055aacb02c7d47e0d87218eb14b53e
5.89,0.17555007,89.9,000000000000000000026d55af4b83a34c0298203cb77ccc2ee7d8d424ef4e68
21.56,0.2374761,90.60000000000001,00000000000000000002e3c80a343ac54d1d3fb033b9ab61064d99fef0de087a
6.01,0.16318506,92.2,00000000000000000001d9fe31640a2dbb34448231ee10be59606959ec547f9d
13.44,0.24225479,80.80000000000001,00000000000000000002b4a391507cc837bae24bbcfc9020aafb10ef39d31667
31.28,0.28062015,96.39999999999999,000000000000000000007a4823c2c589313250790ab2ceb017f62db941f84d52
5.68,0.13867422,73.5,00000000000000000002c22f7d7c6e793e6ed012aaa085a1f93e6e67be7207a8
3.97,0.13242704,99.8,0000000000000000000089f6c044f5e5ebf05992a2ea0b46aa79c582029924a6
8.6,0.13968743,87.8,000000000000000000030b7367024672daef42e77d2787520bcac09ea2109698
3.69,0.11908496,55.2,0000000000000000000342fa43bb23ed326962ea258a6ea1bf562c52fc2ecf07
